guna_word;spanish_word;synonyms
Gwendi;Claro que si;Cierto, , , , 
Gwendina;Claro que sí;Cierto, , , , 
Gwengwen;Algunos;
Gwengwena;Algunos;
Gwensag;Uno;Unico, Solo, , , 
Gwensagga;Uno;Unico, Solo, , , 
Gwigala;Zancudo;
Gwisuid;Zancudo;
Abala;Mitad;
Aggwi;Hervido;Cocinado, Cocido, , , 
Gwii;Mosquito;Chitra, Peine, Peinilla, , 
Gwiled;Danzar ;Saltar, Danzar, , , 
Gwili;Perico;
Gwiliabgangiid;Verde;Verdoso, , , , 
Gwiliabsargiid;Verde;Verdoso, , , , 
gwiligwili ;Picado;Raspado, Lacerado, , , 
Sodsogwale;Picado;Raspado, Lacerado, , , 
Gwingwa;Bala;Plomo, Perdigón, , , 
gwingwin;Faisán;es una especie de ave galliforme
Gwinmagged;Acabarse;Finalizar, , , , 
Aggwied;Cavar la tierra;Escarbar, , , , 
Gwinnigwinnid;Travieso;Entremetido, Indiscreto, , , 
Gwinnur;Planta conocida como velario;
Gwirmagged;Apisonar;
Gwised;Cavar;Excavar, Escarbar la tierra, , , 
Aggwied;Cavar;Excavar, Escarbar, , , 
Gwisgued;Pararse;Detenerse, , , , 
Ii;Estremecimiento;Sacudida, , , , 
Ia;Hermano mayor;Dicho entre varones 
Ib;Cosa;Objeto, , , , 
Ibmar;Cosas;Objetos, , , , 
Iba;Fiesta;Día, Fecha, Jornada, , 
Ibagwen;Un dia;
Ibagwena;Un día;
Ibbaa;Tres días;
Ibabaagwa;Tres días;
Ibdibyed;Sartén;
Ibmardibyed;Sartén;
Ibdur;Animal;Ser irracional, , , , 
Ibdule;Animal;Ser irracional, , , , 
Ibdula;Animal;Ser irracional, , , , 
Aggwigued;Estar cocido;Hervido, , , , 
Ibdurdaggedneg;Escuela;Centro educativo, , , , 
Ibdurdaggednega;Escuela;Centro educativo, , , , 
Ibdurwa;Basura;Desperdicio, Sobrante, Miga, , 
Durwa;Basura;
Ibegwa;Albino;
Ibenu;Niño;Criatura, Recién nacido, , , 
Ibenua;Niño;Criatura, Recién nacido, , , 
Ibeorgun;Personaje de la historia guna;
Orgun;Personaje de la historia guna;
Ibgi;De día;Diurno, , , , 
Agginned;Dar quejidos;Suspirar, Quejarse, , , 
Ibgine;De día;Diurno, , , , 
Ibgued;Amanecer;Madrugar, , , , 
Negibgued;Amanecer;Madrugar, , , , 
Ibigala;Por qué;
Ibler;Personaje de Babigala;
